Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
C0axT3Xo,21/09/2024,08:30,ENGLAND - PREMIER LEAGUE,West Ham,Chelsea,3.5,3.8,2.0,1.53,2.5,1.5,2.5
d8abY4hR,21/09/2024,11:00,ENGLAND - PREMIER LEAGUE,Aston Villa,Wolves,1.57,4.2,5.25,1.57,2.38,1.67,2.1
pYXoP0FD,21/09/2024,11:00,ENGLAND - PREMIER LEAGUE,Fulham,Newcastle,3.0,3.4,2.4,1.67,2.2,1.53,2.38
xtzXn47K,21/09/2024,11:00,ENGLAND - PREMIER LEAGUE,Leicester,Everton,2.5,3.4,2.8,1.87,2.03,1.67,2.1
dQG3srVs,21/09/2024,11:00,ENGLAND - PREMIER LEAGUE,Liverpool,Bournemouth,1.3,6.25,9.0,1.36,3.2,1.7,2.05
Q58Kw0U6,21/09/2024,11:00,ENGLAND - PREMIER LEAGUE,Southampton,Ipswich,2.25,3.5,3.2,1.8,2.0,1.62,2.2
W2BSyvaJ,21/09/2024,11:00,ENGLAND - PREMIER LEAGUE,Tottenham,Brentford,1.55,4.5,5.5,1.44,2.75,1.53,2.38
OIqwRMp1,21/09/2024,13:30,ENGLAND - PREMIER LEAGUE,Crystal Palace,Manchester Utd,2.88,3.75,2.3,1.57,2.38,1.5,2.5
fiy8wfGD,21/09/2024,12:00,FRANCE - LIGUE 1,Lille,Strasbourg,1.7,4.0,4.75,1.87,2.03,1.8,1.95
noOg1c8K,21/09/2024,14:00,FRANCE - LIGUE 1,Rennes,Lens,2.35,3.4,3.0,2.0,1.8,1.8,1.95
v39B1623,21/09/2024,16:00,FRANCE - LIGUE 1,Reims,PSG,6.5,4.75,1.44,1.53,2.5,1.7,2.05
pY1dP0SE,21/09/2024,10:30,GERMANY - BUNDESLIGA,Bochum,Holstein Kiel,1.91,3.5,4.0,1.62,2.3,1.53,2.38
QNoNA1DL,21/09/2024,10:30,GERMANY - BUNDESLIGA,Heidenheim,Freiburg,2.7,3.5,2.55,1.73,2.1,1.57,2.25
hvFA1cz8,21/09/2024,10:30,GERMANY - BUNDESLIGA,Union Berlin,Hoffenheim,2.0,3.6,3.7,1.73,2.1,1.62,2.2
AeNg5uyq,21/09/2024,10:30,GERMANY - BUNDESLIGA,Werder Bremen,Bayern Munich,8.0,5.5,1.36,1.36,3.2,1.57,2.25
IcrFCNr9,21/09/2024,13:30,GERMANY - BUNDESLIGA,Eintracht Frankfurt,B. Monchengladbach,1.75,4.0,4.33,1.5,2.63,1.5,2.5
S66wtFBN,21/09/2024,10:00,ITALY - SERIE A,Venezia,Genoa,3.25,3.2,2.35,2.2,1.67,1.91,1.91
